State/UT,Fatal Accidents - 2017,Fatal Accidents - 2018,Fatal Accidents - 2019,Fatal Accidents - 2020,Accidents - 2017,Accidents - 2018,Accidents - 2019,Accidents - 2020 - Number,Accidents - 2020 - Rank,Killed - 2017,Killed - 2018,Killed - 2019,Killed - 2020 - Number,Killed - 2020 - Rank,Injured - 2017,Injured - 2018,Injured - 2019,Injured - 2020
Andhra Pradesh,3192,2619,2726,2334,11526,9955,9022,7834,9,3350,2730,2834,2477,7,12793,9121,10019,7630
Arunachal Pradesh,33,46,24,16,83,94,52,28,33,35,61,29,19,30,107,109,54,42
Assam,710,716,830,662,2277,2174,2260,1880,18,762,744,859,672,19,1880,1976,1979,1484
Bihar,1422,2075,2210,1911,2714,3495,3536,2827,16,1600,2204,2320,2005,11,1966,2455,2282,2104
Chhattisgarh,1836,2049,2251,2140,6483,6733,7078,6022,11,2020,2140,2416,2260,9,6027,6257,6643,5599
Goa,154,127,148,126,1920,1953,1773,1260,21,165,133,156,132,23,963,829,915,488
Gujarat,2673,3137,3025,2306,9324,9820,8977,6517,10,2768,3348,3266,2465,8,8839,8938,8518,5669
Haryana,1777,1478,1882,1795,4575,3654,5196,4520,12,1761,1544,2009,1930,13,3994,3968,4654,3851
Himachal Pradesh,320,359,352,337,877,1005,899,771,22,418,497,439,416,20,1595,1845,1642,1101
Jammu and Kashmir,347,387,378,330,2783,3196,3105,2732,17,415,476,523,402,21,3813,4289,4166,3416
Jharkhand,945,1199,1058,788,1692,2092,1685,1311,20,971,1281,1228,868,18,1566,1503,1289,1037
Karnataka,3505,3740,3741,3360,17132,17384,16849,13483,3,3715,3946,3938,3531,5,20816,20515,19443,14570
Kerala,1912,2105,2114,1409,22433,23468,23555,15407,2,1985,2179,2202,1463,15,24768,26241,26010,16638
Madhya Pradesh,4285,4509,4834,4726,27898,27520,27063,23649,1,4683,4925,5272,5200,2,30119,28915,28828,24195
Maharashtra,4729,5450,5346,4812,18108,18607,17351,12952,5,5005,5727,5645,5070,3,16003,15880,14900,10325
Manipur,9,14,10,15,62,66,74,53,32,10,16,10,21,29,96,98,126,86
Meghalaya,18,88,62,42,136,272,107,65,29,20,103,70,50,25,79,167,64,47
Mizoram,14,13,4,0,16,17,5,1,34,16,16,4,0,34,26,15,2,16
Nagaland,11,10,4,8,71,75,54,75,27,7,14,4,11,32,34,68,50,46
Orissa,1103,1591,1661,1650,2923,3951,3721,3779,14,1115,1841,1830,1778,14,2919,4049,3632,3398
Punjab,1386,1171,1390,1176,2139,1731,2110,1688,19,1485,1237,1530,1294,16,1392,896,1355,1012
Rajasthan,4164,4231,4357,3932,11893,11513,12773,10093,7,4405,4521,4652,4128,4,11434,11046,12087,8801
Sikkim,17,4,22,12,63,32,56,54,31,21,9,22,17,31,152,73,98,86
Tamil Nadu,4424,3322,3027,1888,22339,21488,20316,13002,4,4574,3439,3151,1963,12,24352,23782,22890,14325
Telangana,3101,3134,3383,3335,12378,12222,11717,10360,6,3285,3374,3571,3503,6,12681,12563,11794,9997
Tripura,31,62,62,43,99,178,194,108,26,30,64,63,47,26,118,225,231,122
Uttarakhand,148,133,171,140,363,310,348,297,23,179,150,186,163,22,349,385,382,234
Uttar Pradesh,5602,5341,5984,4860,12921,12582,12989,9993,8,6216,6259,7009,5465,1,9039,9207,8760,6648
West Bengal,2184,1983,2043,1926,5015,6166,4218,3867,13,2340,2126,2157,2032,10,3851,5258,3654,3223
Andaman and Nicobar Islands,5,5,8,3,79,60,91,65,29,5,5,8,3,33,95,63,77,62
Chandigarh,88,80,87,44,309,270,269,144,25,91,82,91,47,26,273,265,248,136
Dadra and Nagar Haveli,40,30,21,43,67,47,33,67,28,43,32,21,46,28,60,43,72,94
Daman and Diu,31,34,22,NA,70,76,68,NA,NA,31,35,24,NA,34,68,94,69,NA
Delhi,1300,1399,1165,1020,5918,5732,4753,3718,15,1317,1427,1185,1047,17,5844,5382,4410,3276
Lakshadweep,0,1,0,0,1,3,1,1,34,0,1,0,0,34,1,3,1,1
Puducherry,70,105,38,34,599,690,537,264,24,77,105,45,57,24,659,694,637,414
Total ,51586,52747,54440,47223,207286,208631,202835,158887,NA,54920,56791,58769,50582,NA,208771,207217,201981,150173
